Cidade,Temperatura,Chuva,Vento,Umidade,Sol,Arco-Íris
Previsão para Hoje 30/04 Rio de Janeiro - RJ,"{'min': '19°', 'max': '26°'}",5.1mm - 65%,S - 4km/h,"{'min': '64%', 'max': '92%'}",Sol - 06:12:12h 17:29:36h,Alta probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 Rio de Janeiro - RJ,"{'min': '19°', 'max': '26°'}",5.1mm - 65%,S - 4km/h,"{'min': '64%', 'max': '92%'}",Sol - 06:12:12h 17:29:36h,Alta probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 Rio de Janeiro - RJ,"{'min': '19°', 'max': '26°'}",5.1mm - 65%,S - 4km/h,"{'min': '64%', 'max': '92%'}",Sol - 06:12:12h 17:29:36h,Alta probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 Brasília - DF,"{'min': '18°', 'max': '28°'}",15.4mm - 91%,ESE - 5km/h,"{'min': '63%', 'max': '99%'}",Sol - 06:22:14h 17:55:48h,Alta probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 Brasília - DF,"{'min': '18°', 'max': '28°'}",15.4mm - 91%,ESE - 5km/h,"{'min': '63%', 'max': '99%'}",Sol - 06:22:14h 17:55:48h,Alta probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 Brasília - DF,"{'min': '18°', 'max': '28°'}",15.4mm - 91%,ESE - 5km/h,"{'min': '63%', 'max': '99%'}",Sol - 06:22:14h 17:55:48h,Alta probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 Brasília - DF,"{'min': '18°', 'max': '28°'}",15.4mm - 91%,ESE - 5km/h,"{'min': '63%', 'max': '99%'}",Sol - 06:22:14h 17:55:48h,Alta probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 Brasília - DF,"{'min': '18°', 'max': '28°'}",15.4mm - 91%,ESE - 5km/h,"{'min': '63%', 'max': '99%'}",Sol - 06:22:14h 17:55:48h,Alta probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 São Paulo - SP,"{'min': '14°', 'max': '24°'}",0.0mm - 0%,ESE - 8km/h,"{'min': '62%', 'max': '93%'}",Sol - 06:25:48h 17:41:40h,Sem probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 Rio de Janeiro - RJ,"{'min': '19°', 'max': '26°'}",1.2mm - 69%,SSW - 5km/h,"{'min': '63%', 'max': '92%'}",Sol - 06:12:12h 17:29:36h,Sem probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 Rio de Janeiro - RJ,"{'min': '19°', 'max': '26°'}",1.2mm - 69%,SSW - 5km/h,"{'min': '63%', 'max': '92%'}",Sol - 06:12:12h 17:29:36h,Sem probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 São Paulo - SP,"{'min': '14°', 'max': '24°'}",0.0mm - 0%,ESE - 8km/h,"{'min': '62%', 'max': '93%'}",Sol - 06:25:48h 17:41:40h,Sem probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 Brasília - DF,"{'min': '18°', 'max': '28°'}",15.4mm - 91%,ESE - 5km/h,"{'min': '63%', 'max': '99%'}",Sol - 06:22:14h 17:55:48h,Alta probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 Brasília - DF,"{'min': '18°', 'max': '28°'}",15.4mm - 91%,ESE - 5km/h,"{'min': '63%', 'max': '99%'}",Sol - 06:22:14h 17:55:48h,Alta probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 Brasília - DF,"{'min': '18°', 'max': '28°'}",15.4mm - 91%,ESE - 5km/h,"{'min': '63%', 'max': '99%'}",Sol - 06:22:14h 17:55:48h,Alta probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 Brasília - DF,"{'min': '18°', 'max': '28°'}",15.4mm - 91%,ESE - 5km/h,"{'min': '63%', 'max': '99%'}",Sol - 06:22:14h 17:55:48h,Alta probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 Brasília - DF,"{'min': '18°', 'max': '28°'}",15.4mm - 91%,ESE - 5km/h,"{'min': '63%', 'max': '99%'}",Sol - 06:22:14h 17:55:48h,Alta probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 Brasília - DF,"{'min': '18°', 'max': '28°'}",15.4mm - 91%,ESE - 5km/h,"{'min': '63%', 'max': '99%'}",Sol - 06:22:14h 17:55:48h,Alta probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 Brasília - DF,"{'min': '18°', 'max': '28°'}",15.4mm - 91%,ESE - 5km/h,"{'min': '63%', 'max': '99%'}",Sol - 06:22:14h 17:55:48h,Alta probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 Brasília - DF,"{'min': '18°', 'max': '28°'}",15.4mm - 91%,ESE - 5km/h,"{'min': '63%', 'max': '99%'}",Sol - 06:22:14h 17:55:48h,Alta probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 Brasília - DF,"{'min': '18°', 'max': '28°'}",15.4mm - 91%,ESE - 5km/h,"{'min': '63%', 'max': '99%'}",Sol - 06:22:14h 17:55:48h,Alta probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 Brasília - DF,"{'min': '18°', 'max': '28°'}",15.4mm - 91%,ESE - 5km/h,"{'min': '63%', 'max': '99%'}",Sol - 06:22:14h 17:55:48h,Alta probabilidade de formação de arco-íris!
Previsão para Hoje 30/04 São Paulo - SP,"{'min': '14°', 'max': '24°'}",0.0mm - 0%,ESE - 8km/h,"{'min': '62%', 'max': '93%'}",Sol - 06:25:48h 17:41:40h,Sem probabilidade de formação de arco-íris!
